Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
Halsey City Library,Halsey City Library,,773 W 1st Street Halsey OR 97348,773 W 1st Street,Halsey,Linn,OR,97348,Public,PO Box 10 Halsey OR 97348,Halsey,Linn,OR,97348,(541) 369-2705,(541) 369-2521,library@cityofhalsey.com,http://www.cityofhalsey.com/library.htm,,Jorden,Parrish,(541) 369-2705,library@cityofhalsey.com,POINT (-123.10886999999998 44.383557),11,6,2407
Blue Mountain Community College,Blue Mountain Community College,,2411 NW Carden Ave Pendleton OR 97801-1000,2411 NW Carden Ave,Pendleton,Umatilla,OR,97801-1000,Academic,PO Box 100 Pendleton  97801,Pendleton,Umatilla,,97801,541- 278-5915,,onlinelibrary@bluecc.edu,http://www.bluecc.edu/library,,Brittany,Young,541-278-5912,byoung@bluecc.edu,POINT (-118.81383 45.675622),58,29,2413
Process Work Institute - GRADUATE SCHOOL,Process Work Institute,GRADUATE SCHOOL,2049 NW Hoyt St Portland OR 97209,2049 NW Hoyt St,Portland,,OR,97209,Academic,,,,,,503-223-8188,503-227-7003,,https://www.processwork.edu,,Jennifer,Keyser,,library@processwork.edu,POINT (-122.69353 45.527034),36,18,2410
North Powder City Library,North Powder City Library,,290 E St North Powder OR 97867,290 E St,North Powder,Union,OR,97867,Public,PO Box 309 North Powder OR 97867,North Powder,,OR,97867,(541) 898-2175,(541) 898-2175,npcitylibrary1@gmail.com,https://sagelib.org/member/north-powder-city-library,NONE,Maggie,Guthrie,(541) 898-2175,npcitylibrary1@gmail.com,POINT (-117.920729 45.029187),58,29,2414
Klamath County Library - Chiloquin Branch Library,Klamath County Library,Chiloquin Branch Library,140 1st Street Chiloquin OR 97624,140 1st Street,Chiloquin,Klamath,OR,97624,Public,PO Box 666 Chiloquin  97624,Chiloquin,Klamath,,97624,(541) 783-3315,(541) 783-3315,chiloquinstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894 ext 23,njohnston@klamathlibrary.org,POINT (-121.600666 42.024938),56,28,2369
State Library of Oregon,State Library of Oregon,,250 Winter St. NE Salem OR 97301,250 Winter St. NE,Salem,Marion,OR,97301,Special,250 Winter St. NE Salem OR 97301,Salem,Marion,OR,97301,(503) 378-5030,(503) 585-8059,,http://www.oregon.gov/OSL/,,Jennifer,Patterson,(503) 378-4367,jennifer.l.patterson@state.or.us,POINT (-123.031504 44.940029),21,11,2409
Crook County Library,Crook County Library,,175 NW Meadow Lakes Dr Prineville OR 97754,175 NW Meadow Lakes Dr,Prineville,Crook,OR,97754,Public,175 NW Meadow Lakes Dr Prineville OR 97754,Prineville,,OR,97754,(541) 447-7978,(541) 447-1308,library@crooklib.org,http://www.crooklib.org,NONE,Buzzy,Nielsen,(541) 447-7978 ext 314,bnielsen@crooklib.org,POINT (-120.856965 44.301532),55,28,719
Union Carnegie Public Library,Union Carnegie Public Library,,182 N Main St Union  OR 97883,182 N Main St,Union,Union,OR,97883,Public,PO Box 928 Union OR 97883,Union,,OR,97883,(541) 562-5811,(541) 562-2028,library@cityofunion.com,,NONE,Louise,Shelden,(541) 562-5811,library@cityofunion.com,POINT (-117.865489 45.209771),58,29,2414
Hood River County Library District - Cascade Locks Branch Library,Hood River County Library District,Cascade Locks Branch Library,300 SW Wa-Na-Pa Street Cascade Locks OR 97014,300 SW Wa-Na-Pa Street,Cascade Locks,Hood River County,OR,97014,Public,502 State St Hood River  97031,Hood River,Hood River,,97031,541-374-9317,,info@hoodriverlibrary.org,http://www.hoodriverlibrary.org/,NONE,,,,,POINT (-121.89363400000002 45.668459),52,26,2366
Columbia Basin Fish & Wildlife Library (fka StreamNet Library),Columbia Basin Fish & Wildlife Library (fka StreamNet Library),,"700 N.E. Multnomah St., Suite 515 Portland OR 97232","700 N.E. Multnomah St., Suite 515",Portland,Multnomah,OR,97232,Special,700 N.E. Multnomah St Suite 1200 Portland OR 97232,Portland,Multnomah,OR,97232,(503) 238-0667,,Fishlib@critfc.org,http://www.streamnetlibrary.org,,Tami,Wilkerson,(503) 736-3581,twilkerson@critfc.org,POINT (-122.65816600000001 45.531498),43,22,2410
Tigard Public Library,Tigard Public Library,,13500 SW Hall Blvd Tigard OR 97223,13500 SW Hall Blvd,Tigard,Washington,OR,97223,Public,13500 SW Hall Blvd Tigard OR 97223,Tigard,Washington,OR,97223,(503) 684-6537,(503) 598-7515,,http://www.tigard-or.gov/library,WCCLS,Halsted,Bernard,(503) 718-2501,halstedb@tigard-or.gov,POINT (-122.765724 45.421846),35,18,724
Multnomah County Library - Fairview-Columbia Library,Multnomah County Library,Fairview-Columbia Library,1520 NE Village St. Fairview OR 97024,1520 NE Village St.,Fairview,Multnomah,OR,97024,Public,,,,,,503.988.5123,,,,NONE,Kylie,Park,503.988.5540,kyliehp@multco.us,POINT (-122.439482 45.532236),49,25,2410
Jackson County Library Services - Eagle Point Branch Library,Jackson County Library Services,Eagle Point Branch Library,239 West Main St Eagle Point OR 97524,239 West Main St,Eagle Point,Jackson,OR,97524,Public,PO Box 459 Eagle Point  97524,Eagle Point,Jackson,,97524,(541) 826-3313,(541) 826-3313,info@jcls.org,http://www.jcls.org,NONE,Charlene,Prinsen,(541) 826-3313,cprinsen@jcls.org,POINT (-122.80497700000001 42.473635),4,2,2367
Lake County Library - Silver Lake Branch Library,Lake County Library,Silver Lake Branch Library,65522 Highway 31 Silver Lake OR 97638,65522 Highway 31,Silver Lake,Lake,OR,97638,Public,PO Box 87 Silver Lake  97638,Silver Lake,Lake,,97638,(541) 576-2146,,rosav@lakecountylibrary.org,,NONE,Amy,Hutchinson,541-947-6019,amyh@lakecountylibrary.org,POINT (-121.048596 43.127871),55,28,2370
Umatilla County Special Library District,Umatilla County Special Library District,,211 SW 1st Street Pendleton OR 97801,211 SW 1st Street,Pendleton,Umatilla,OR,97801,Public,PO Box 1689 Pendleton OR 97801,Pendleton,,OR,97801,(541) 276-6449,,director@ucsld.org,http://www.ucsld.org,UCSLD,Erin,McCusker,(541) 276-6449,director@ucsld.org,POINT (-118.78835000000001 45.672223),58,29,2413
Athena Public Library,Athena Public Library,,418 E Main St Athena OR 97813,418 E Main St,Athena,Umatilla,OR,97813,Public,PO Box 450 Athena OR 97813,Athena,,OR,97813,(541) 566-2470,(541) 566-2470,athenalibrary@cityofathena.com,http://athenalibrary.weebly.com/,UCSLD,Kristin,Williams,(541) 566-2470,athenalibrary@cityofathena.com,POINT (-118.48865700000002 45.811707),58,29,2413
Vernonia Public Library,Vernonia Public Library,,701 Weed Ave Vernonia OR 97064,701 Weed Ave,Vernonia,Columbia,OR,97064,Public,701 Weed Ave Vernonia OR 97064,Vernonia,,OR,97064,(503) 429-1818,(503) 429-0729,library@vernonia-or.gov,https://www.vernonia-or.gov/departments/library/,NONE,Shannon,Romtvedt,(503) 429-1818,shannonr@vernonia-or.gov,POINT (-123.19649000000001 45.858083),31,16,2319
Elgin Public Library,Elgin Public Library,,1699 Division Street Elgin OR 97827,1699 Division Street,Elgin,Union,OR,97827,Public,1699 Division Street Elgin OR 97827,Elgin,Union,OR,97827,(541) 437-2860,(541) 437-0997,publiclibrary@cityofelginor.org,https://cityofelgin.godaddysites.com/city-library,NONE,Michele,Timmons,(541) 437-2860,mtimmons@cityofelginor.org,POINT (-117.92658199999998 45.564886),58,29,2414
Mary Gilkey Public Library,Mary Gilkey Public Library,,416 Ferry St Dayton OR 97114,416 Ferry St,Dayton,Yamhill,OR,97114,Public,PO Box 339 Dayton OR 97114,Dayton,,OR,97114,(503) 864-2221,(503) 864-2956,cpark@ci.dayton.or.us,http://www.ci.dayton.or.us,CCRLS,Cyndi,Park,503-864-2221  ext 303,cpark@ci.dayton.or.us,POINT (-123.07752099999999 45.219704),23,12,2453
Leaburg Library,Leaburg Library,,"42888 McKenzie Hwy., Milepost 20 Leaburg OR 97489","42888 McKenzie Hwy., Milepost 20",Leaburg,Lane,OR,97489,Volunteer,PO Box 267 Walterville OR 97489,Walterville,Lane,OR,97489,(541) 896-3112,,,http://www.leaburglibrary.weebly.com,,Marty,Mealey,,,POINT (-122.675605 44.107185),11,6,2371
University Of Portland - Clark Library,University Of Portland,Clark Library,5000 N Willamette Blvd 97203 Portland OR 97203,5000 N Willamette Blvd 97203,Portland,Multnomah,OR,97203,Academic,,,,,,503-943-7111,503-943-7491,library@up.edu,http://library.up.edu,,Xan,Arch,503-943-7310,arch@up.edu,POINT (-122.72565800000001 45.574871),44,22,2410
Klamath County Library Service District,Klamath County Library Service District,,126 S Third St Klamath Falls  OR 97601,126 S Third St,Klamath Falls,Klamath,OR,97601,Public,126 S Third St Klamath Falls OR 97601,Klamath Falls,,OR,97601,(541) 882-8895,(541) 882-6166,,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894 ext 23,njohnston@klamathlibrary.org,POINT (-121.78457699999998 42.222545),56,28,2369
Estacada Public Library,Estacada Public Library,,825 NW Wade Estacada   OR 97023,825 NW Wade,Estacada,Clackamas,OR,97023,Public,825 NW Wade St.  Estacada OR 97023,Estacada,,OR,97023,(503) 630-8273,,eslibrary@lincc.org,https://www.cityofestacada.org/library,LINCC,Michele,Kinnamon,(503) 630-8273 ext 212,michelek@lincc.org,POINT (-122.33794300000001 45.297152),39,20,2317
Pioneer Pacific College - Library,Pioneer Pacific College,Library,4145 SW Watson Ave #300 Beaverton OR 97005,4145 SW Watson Ave #300,Beaverton,Washington,OR,97005,Academic,4145 SW Watson Ave #300 Beaverton  97005,Beaverton,Washington,,97005,503-682-1862,503-682-6801,,http://www.pioneerpacific.edu,,Pat,Love,,patricia.love@pioneerpacific.edu,POINT (-122.80615000000002 45.489724),34,17,724
Deschutes Public Library District,Deschutes Public Library District,,507 NW Wall St Bend  OR 97703,507 NW Wall St,Bend,Deschutes,OR,97703,Public,507 NW Wall St Bend OR 97703,Bend,,OR,97703,(541) 312-1020,(541) 389-2982,,http://www.deschuteslibrary.org,NONE,Todd,Dunkelberg,(541) 312-1021,toddd@deschuteslibrary.org,POINT (-121.317274 44.056166),54,27,2362
Grant County Library,Grant County Library,,507 S Canyon Blvd John Day  OR 97845,507 S Canyon Blvd,John Day,Grant,OR,97845,Public,507 S Canyon Blvd John Day OR 97845,John Day,,OR,97845,(541) 575-1992,541-575-1380,grant047@ortelco.net,http://www.grantcountylibrary.net,NONE,Vicki,Bond,(541) 575-1992,grantdir@ortelco.net,POINT (-118.952469 44.410238),60,30,2365
Oregon Institute of Technology Libraries - Shaw Historical Library at Oregon Tech,Oregon Institute of Technology Libraries,Shaw Historical Library at Oregon Tech,3201 Campus Drive Klamath Falls OR 97601-8801,3201 Campus Drive,Klamath Falls,Klamath,OR,97601-8801,Academic,3201 Campus Drive Shaw Historical Library Klamath Falls OR 97601-8801,Klamath Falls,Klamath,OR,97601-8801,(541) 885-1686,(541) 885-1777,shawlib@oit.edu,http://www.oit.edu/shaw,,John,Schoppert,541-885-1783,john.schoppert@oit.edu,POINT (-121.78227100000001 42.25421300000001),56,28,2369
Jackson County Library Services - White City Branch Library,Jackson County Library Services,White City Branch Library,3143 Ave C  White City OR 97503,3143 Ave C,White City,Jackson,OR,97503,Public,,,,,,(541) 864-8880,(541) 864-8889,info@jcls.org,http://www.jcls.org,NONE,Patti,Proctor,(541) 864-8884,pproctor@jcls.org,POINT (-122.833529 42.429337),4,2,2367
Pacific Evangelical School of Ministry,Pacific Evangelical School of Ministry,,"11501 SE Sunnyside Rd., Suite 300 Happy Valley OR 97015","11501 SE Sunnyside Rd., Suite 300",Happy Valley,Clackamas,OR,97015,Academic,11501 SE Sunnyside Rd. Suite 300 Happy Valley OR 97015,Happy Valley,Clackamas,OR,97015,(503) 427-0000,,,http://pesm.scoolaid.net/bin/home,,Lynda,Russell,(503) 250-0907,lyndarussell@me.com,POINT (-122.545698 45.432474),48,24,2317
Multnomah County Library - Rockwood Library,Multnomah County Library,Rockwood Library,17917 SE Stark St Portland OR 97233,17917 SE Stark St,Portland,Multnomah County,OR,97233,Public,,,,,,,,,,NONE,David,Lee,503-988-5216,davidl@multcolib.org,POINT (-122.478984 45.519153),50,25,2410
Baker County Public Library,Baker County Public Library,,2400 Resort St Baker City OR 97814,2400 Resort St,Baker City,Baker,OR,97814,Public,2400 Resort St Baker City OR 97814,Baker City,Baker,OR,97814,(541) 523-6419,(541) 523-9088,info@bakerlib.org,http://www.bakerlib.org,NONE,Perry,Stokes,(541) 523-6419,director@bakerlib.org,POINT (-117.828984 44.781058),60,30,2315
Fossil Public Library,Fossil Public Library,,401 Main St Fossil  OR 97830,401 Main St,Fossil,Wheeler,OR,97830,Public,PO Box 467 Fossil OR 97830,Fossil,,OR,97830,(541) 763-2046,(541) 763-2124,libraryfossil46@gmail.com,,NONE,Cathy,Goldsmith,(541) 763-2046,libraryfossil46@gmail.com,POINT (-120.21370800000001 45.0004),59,30,2452
Ione Library District,Ione Library District,,385 West 2nd St Ione OR 97843,385 West 2nd St,Ione,Morrow,OR,97843,Public,PO Box 125 Ione OR 97843,Ione,Morrow,OR,97843,(541)561-9828,,ionelibrary@gmail.com,http://ionepubliclibrary.com,NONE,Kristy Crowell &,"Becky Doherty, Co-Directors",,ionelibrary@gmail.com,POINT (-119.828661 45.500567),57,29,722
Baker County Public Library - Bookmobile,Baker County Public Library,Bookmobile,2400 Resort St Baker City OR 97814,2400 Resort St,Baker City,Baker,OR,97814,Public,,,,,,(541) 403-1390,,bookmobile@bakerlib.org,,NONE,,,,,POINT (-117.828984 44.781058),60,30,2315
Joseph Public Library,Joseph Public Library,,201 N Main St Joseph OR 97846,201 N Main St,Joseph,Wallowa,OR,97846,Public,PO Box 15 Joseph OR 97846,Joseph,,OR,97846,(541) 432-0141,(541) 432-3832,josephpl@eoni.com,http://www.josephoregon.org/library,NONE,Eric,Shoudel,(541) 432-0141,joseph97846@hotmail.com,POINT (-117.22989600000001 45.353393),58,29,2450
Toledo Public Library,Toledo Public Library,,173 NW 7th St Toledo OR 97391,173 NW 7th St,Toledo,Lincoln,OR,97391,Public,173 NW 7th St Toledo OR 97391,Toledo,Lincoln,OR,97391,(541) 336-3132,,toledolibrary@cityoftoledo.org,http://www.cityoftoledo.org/library/,LCLD,Deborah,Trusty,(541) 336-3132 ext 7100,Deborah.Trusty@cityoftoledo.org,POINT (-123.938846 44.625506),10,5,2372
Tillamook County Library - Rockaway Branch Library,Tillamook County Library,Rockaway Branch Library,120 N. Coral  Rockaway OR 97136,120 N. Coral,Rockaway,Tillamook County,OR,97136,Public,,,,,,503-355-2665,,,,NONE,Sue,Luce,,,POINT (-123.94187 45.613541),32,16,2412
Lower Umpqua Library District,Lower Umpqua Library District,,395 Winchester Ave Reedsport OR 97467,395 Winchester Ave,Reedsport,Douglas,OR,97467,Public,395 Winchester Ave Reedsport  97467,Reedsport,,,97467,(541) 271-3500,(541) 271-1027,scousineau@luld.org,https://www.luld.org/,NONE,Sue,Cousineau,(541) 271-3500,scousineau@luld.org,POINT (-124.096175 43.701814),9,5,2363
Multnomah County Library - Holgate Library,Multnomah County Library,Holgate Library,7905 SE Holgate Blvd Portland OR 97206,7905 SE Holgate Blvd,Portland,Multnomah,OR,97206,Public,,,,,,,,,,NONE,Victoria,Oglesbee,(503)988-4230,victoria@multcolib.org,POINT (-122.582112 45.490254),46,23,2410
Sherman County Public/School Library,Sherman County Public/School Library,,65912 High School Loop Moro OR 97039,65912 High School Loop,Moro,Sherman,OR,97039,Public,65912 High School Loop Moro OR 97039,Moro,,OR,97039,(541) 565-3279,(541) 565-3319,mmartin@sherman.k12.or.us,http://shermancountypsl.weebly.com/,NONE,Marylou,Martin,(541) 565-3279,mmartin@sherman.k12.or.us,POINT (-120.741618 45.473106),57,29,2411
Brownsville Community Library,Brownsville Community Library,,146 Spaulding Brownsville OR 97327,146 Spaulding,Brownsville,Linn,OR,97327,Public,PO Box 68 Brownsville OR 97327,Brownsville,,OR,97327,(541) 466-5454,,library@ci.brownsville.or.us,http://www.brownsvillecommunitylibrary.org,NONE,Sherri,Lemhouse,(541) 466 5454,library@ci.brownsville.or.us,POINT (-122.98377899999998 44.394219),11,6,2407
Oregon Coast Community College Library,Oregon Coast Community College Library,,400 SE College Way Newport OR 97366,400 SE College Way,Newport,Lincoln,OR,97366,Academic,400 SE College Way Newport  97366,Newport,,,97366,541-867-8526,,library.services@oregoncoastcc.org,http://www.oregoncoastcc.org/library/,,Darci L.,Adolf,541-867-8527,dadolf@oregoncoastcc.org,POINT (-124.04459200000001 44.603591),10,5,2372
Ledding Library,Ledding Library,,9600 SE Main St Milwaukie OR 97222,9600 SE Main St,Milwaukie,Clackamas County,OR,97222,Public,9600 SE Main St Milwaukie OR 97222,Milwaukie,,OR,97222,(503) 786-7580,,,http://www.milwaukieoregon.gov/library,LINCC,Katie,Newell,(503) 786-7584,newellk@milwaukieoregon.gov,POINT (-122.640676 45.452441),41,21,2317
Multnomah County Library - Midland Regional Library,Multnomah County Library,Midland Regional Library,805 SE 122nd Ave Portland OR 97233,805 SE 122nd Ave,Portland,Multnomah,OR,97233,Public,,,,,,5039885392,,,http://www.multcolib.org/agcy/mid.html,NONE,Michael,Bobish,(503) 988-5744,michaelb@multcolib.org,POINT (-122.537736 45.516259),47,24,2410
University Of Oregon - Institute of Marine Biology Library,University Of Oregon,Institute of Marine Biology Library,63466 Boat Basin Drive Charleston OR 97420-1221,63466 Boat Basin Drive,Charleston,,OR,97420-1221,Academic,PO Box 5389 Charleston  97420,Charleston,,,97420,541-888-2581 X 219,541-888-3391,,,,Barbara,Butler,,butler@uoregon.edu,POINT (-124.328583 43.345474),1,1,2320
Hazel M. Lewis Library,Hazel M. Lewis Library,,511 3rd Ave Powers OR 97466,511 3rd Ave,Powers,Coos,OR,97466,Public,PO Box 559 Powers OR 97466,Powers,,OR,97466,(541) 439-5311,(541) 439-5311,jbedwell@coastlinelibrarynetwork.org,http://info.cclsd.org/pow/,CCLSD,Joanie,Bedwell,(541) 439-5311,jbedwell@coastlinelibrarynetwork.org,POINT (-124.070259 42.88163),1,1,2320
Harney County Library,Harney County Library,,80 West D St Burns OR 97720,80 West D St,Burns,Harney,OR,97720,Public,80 West  D St Burns OR 97720,Burns,,OR,97720,(541) 573-6670,(541) 573-1571,harneycl@harneycountylibrary.org,http://www.harneycountylibrary.org,NONE,Cheryl,Hancock,(541) 573-7339,cheryl@harneycountylibrary.org,POINT (-119.05529 43.592163),60,30,720
Linn-Benton Community College,Linn-Benton Community College,,6500 SW Pacific Blvd. Albany OR 97321-3774,6500 SW Pacific Blvd.,Albany,Linn,OR,97321-3774,Academic,,,,,,541-917-4638,541-917-4692,libref@linnbenton.edu,http://library.linnbenton.edu,,Bryan,Miyagishima,541-917-4646,miyagib@linnbenton.edu,POINT (-123.109852 44.588423),15,8,2407
Klamath County Library - Chemult Branch Library,Klamath County Library,Chemult Branch Library,120 Damon Street Chemult OR 97731,120 Damon Street,Chemult,Klamath,OR,97731,Public,PO Box 155 Chemult  97731,Chemult,Klamath,,97731,(541) 365-2412,(541) 365-2412,chemultstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894 ext 23,njohnston@klamathlibrary.org,POINT (-121.78366300000002 43.214986),55,28,2369
Gladstone Public Library,Gladstone Public Library,,135 E Dartmouth Gladstone OR 97027,135 E Dartmouth,Gladstone,Clackamas,OR,97027,Public,135 E Dartmouth Gladstone OR 97027,Gladstone,,OR,97027,(503) 656-2411,(503) 655-2438,gladstonepubliclibrary@gmail.com,http://gladstonepubliclibrary.org/,LINCC,Mitzi,Olson,(503)557-2779,molson@clackamas.us,POINT (-122.593969 45.380471),40,20,2317
Corvallis-Benton County Public Library - Monroe Community Library,Corvallis-Benton County Public Library,Monroe Community Library,380 N. Fifth St Monroe OR 97456,380 N. Fifth St,Monroe,Benton,OR,97456,Public,PO Box 21 Monroe  97456,Monroe,Benton,,97456,(541) 847-5174,(541) 847-5173,,http://www.cbcpl.net,NONE,Andrew,Cherbas,541-766-6792,andrew.cherbas@corvallisoregon.gov,POINT (-123.29812600000001 44.319108),23,12,2316
Milton-Freewater Public Library,Milton-Freewater Public Library,,8 SW Eighth Ave Milton-Freewater  OR 97862-1501,8 SW Eighth Ave,Milton-Freewater,Umatilla,OR,97862-1501,Public,8 SW Eighth Ave Milton-Freewater OR 97862-1501,Milton-Freewater,,OR,97862-1501,(541) 938-8247,(541) 938-8254,librarycirculation@milton-freewater-or.gov,http://www.mfcity.com/library,UCSLD,Lili,"Schmidt, Interim",(541) 938-8246,lili.schmidt@milton-freewater-or.gov,POINT (-118.385336 45.927644),57,29,2413
Multnomah County Library - Northwest Library,Multnomah County Library,Northwest Library,2300 NW Thurman St. Portland OR 97210,2300 NW Thurman St.,Portland,Multnomah County,OR,97210,Public,,,,,,,,,,NONE,Kim,Anderson,503-988-4110,kimbera@multcolib.org,POINT (-122.69920000000002 45.535497),33,17,2410
Jackson County Library Services - Shady Cove Library,Jackson County Library Services,Shady Cove Library,22477 Highway 62 Shady Cove OR 97539,22477 Highway 62,Shady Cove,Jackson,OR,97539,Public,PO Box 502 Shady Cove  97539,Shady Cove,Jackson,,97539,(541) 878-2270,(541) 878-2270,info@jcls.org,http://www.jcls.org,NONE,Marion,Mensing,(541) 878-2270,mmensing@jcls.org,POINT (-122.80803300000001 42.623572),55,28,2367
State of Oregon Law Library,State of Oregon Law Library,,1163 State St. Salem OR 97301,1163 State St.,Salem,Marion,OR,97301,Special,1163 State St. Salem OR 97301,Salem,Marion,OR,97301,(503) 986-5640,,state.law.library@ojd.state.or.us,http://oregon.gov/soll,,Cathryn,Bowie,,,POINT (-123.02779699999999 44.937175),21,11,2409
Pacific Bible College,Pacific Bible College,,"28 Fir St., Suite 212 Medford OR 97501","28 Fir St., Suite 212",Medford,Jackson,OR,97501,Academic,"28 Fir St., Suite 212 Medford  97501",Medford,Jackson,,97501,541-776-9942,541-770-9065,library@pacificbible.com,https://pacificbible.edu/academics/library/,,Terry,Pruett,541-826-4553,terry.p@pacificbible.com,POINT (-122.87364899999999 42.324841),6,3,2367
Banks Public Library,Banks Public Library,,42461 NW Market St Banks   OR 97106,42461 NW Market St,Banks,Washington,OR,97106,Public,42461 NW Market St Banks OR 97106,Banks,,OR,97106,(503) 324-1382,(503) 324-7017,,http://www.wccls.org,WCCLS,Denise,Holmes,(503) 324-1382,deniseh@wccls.org,POINT (-123.114111 45.61968400000001),32,16,724
Douglas County Law Library,Douglas County Law Library,,1036 SE Douglas Street Roseburg OR 97470,1036 SE Douglas Street,Roseburg,Douglas,OR,97470,Special,1036 SE Douglas Street Justice Building - Room 305 Roseburg OR 97470,Roseburg,Douglas,OR,97470,(541) 440-4341,,dclawlib@co.douglas.or.us,http://www.co.douglas.or.us/lawlib/,,,,,,POINT (-123.34152900000001 43.210272),2,1,2363
Sandy Public Library - Hoodland Library,Sandy Public Library,Hoodland Library,24525 E Welches Rd Welches OR 97067,24525 E Welches Rd,Welches,Clackamas,OR,97067,Public,PO Box 298 Welches  OR 97067,Welches,Clackamas,OR,97067,(503) 622-3460,,,http://www.ci.sandy.or.us/library,LINCC,Sarah,McIntyre,(503) 668-5537,smcintyre@ci.sandy.or.us,POINT (-121.963356 45.34582900000001),52,26,2317
Portland Community College - Cascade Campus,Portland Community College,Cascade Campus,705 N Killingsworth Portland OR 97217-2399,705 N Killingsworth,Portland,,OR,97217-2399,Academic,PO Box 19000 Portland  97280-0990,Portland,,,97280-0990,971 722 5322,,https://www.pcc.edu/library/about/people/contact/email-a-librarian/,http://www.pcc.edu/library/,,Michelle,Bagley,971-722-4497,michelle.bagley@pcc.edu,POINT (-122.67424 45.562691),43,22,2410
Silver Falls Library District,Silver Falls Library District,,410 S Water St Silverton OR 97381,410 S Water St,Silverton,Marion,OR,97381,Public,410 S Water St Silverton OR 97381,Silverton,,OR,97381,(503) 873-5173,(503) 873-6227,silvfals@ccrls.org,http://www.silverfallslibrary.org,CCRLS,Christy,Davis,(503) 873-5770,christy.davis@ccrls.org,POINT (-122.781135 45.002907),18,9,2409
Coos Bay Public Library,Coos Bay Public Library,,525 Anderson Coos Bay OR 97420,525 Anderson,Coos Bay,Coos,OR,97420,Public,525 Anderson Coos Bay OR 97420,Coos Bay,,OR,97420,(541) 269-1101,(541) 269-7567,bayref@coastlinelibrarynetwork.org,http://www.coosbaylibrary.org,CCLSD,Samantha,Pierson,(541) 269-1101 ext 229,spierson@coastlinelibrarynetwork.org,POINT (-124.217207 43.367189),9,5,2320
Oakland City Library,Oakland City Library,,637 NE Locust St Oakland OR 97462,637 NE Locust St,Oakland,Douglas County,OR,97462,Public,,,,,,(541) 459-9784,,oaklandlibraryadvisoryboard@gmail.com,,NONE,Melody,Rudenko,541-829-3294,melodyrudenko@gmail.com,POINT (-123.294031 43.423768),7,4,2363
Mt. Angel Public Library,Mt. Angel Public Library,,290 E. Charles St Mt. Angel OR 97362,290 E. Charles St,Mt. Angel,Marion,OR,97362,Public,P.O. Box 870 Mt. Angel OR 97362,Mt. Angel,,OR,97362,(503) 845-6401,,library.mountangel@ccrls.org,http://mountangel.ccrls.org/,CCRLS,Jackie,Mills,(503) 845-6401,jackie.mills@ccrls.org,POINT (-122.797871 45.067809),18,9,2409
Multnomah County Library - Belmont Library,Multnomah County Library,Belmont Library,1038 SE Cesar Chavez BLVD Portland OR 97214,1038 SE Cesar Chavez BLVD,Portland,Multnomah,OR,97214,Public,,,,,,503.988.5123,,,,NONE,Matthew,Yake,503.988.6124,matthewy@multcolib.org,POINT (-122.62292300000001 45.515215),42,21,2410
Albany Public Library - Albany Downtown Carnegie Library,Albany Public Library,Albany Downtown Carnegie Library,302 Ferry Street SW Albany OR 97321,302 Ferry Street SW,Albany,Linn,OR,97321,Public,301 Ferry Street SW Albany  97321,Albany,,,97321,(541) 917-7585,(541) 917-7586,AskAlbany@cityofalbany.net,http://library.cityofalbany.net,NONE,Ed,Gallagher,(541) 917-7589,ed.gallagher@cityofalbany.net,POINT (-123.10830499999999 44.635202),15,8,2407
Forest Grove City Library,Forest Grove City Library,,2114 Pacific Ave Forest Grove OR 97116,2114 Pacific Ave,Forest Grove,Washington,OR,97116,Public,2114 Pacific Ave Forest Grove OR 97116,Forest Grove,,OR,97116,(503) 992-3247,(503) 992-3333,,https://www.forestgrove-or.gov/library,WCCLS,Colleen,Winters,(503) 992-3246,cwinters@forestgrove-or.gov,POINT (-123.109846 45.51966),29,15,724
Klamath County Library - Merrill Branch Library,Klamath County Library,Merrill Branch Library,365 W Front St Merrill OR 97633,365 W Front St,Merrill,Klamath,OR,97633,Public,,,,,,(541) 798-5393,(541) 798-5393,merrillstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894 ext 26,njohnston@klamathlibrary.org,POINT (-121.603543 42.023979),56,28,2369
Newport Public Library,Newport Public Library,,35 NW Nye St Newport  OR 97365,35 NW Nye St,Newport,Lincoln,OR,97365,Public,35 NW Nye St Newport OR 97365,Newport,Lincoln,OR,97365,(541) 265-2153,,reference@newportlibrary.org,http://www.newportlibrary.org,LCLD,Laura,Kimberly,(541) 574-0600,l.kimberly@newportlibrary.org,POINT (-124.05564300000002 44.636986),10,5,2372
