District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
2195,Sherman County SD,1010,Sherman County School,Mike Somnis,Grade(s) K-12,H,Sherman,268,<5%,1,18%,52%,87%,17,5,1,42%,74%,No,15,No Change,,25,74%,Decrease,7%,80%,,,,,,,,,,78%,Decrease,1%,85%,88%,Increase,5%,79%,96%,Increase,2%,85%,84%,Increase,15%,62%
2244,Sherwood SD 88J,1334,Archer Glen Elementary School,Tim Smith,Grade(s) K-5,E,Washington,582,<5%,14,11%,10%,93%,25,13,1,8%,94%,Yes,25.5,No Change,,25,92%,Increase,1%,80%,Average,75%,No Change,,51%,77%,Increase,2%,43%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,4730,Edy Ridge Elementary School,Miranda Johnson,Grade(s) K-5,E,Washington,592,7%,13,11%,14%,96%,26,11,1,10%,91%,No,25,Increase,2,25,93%,Increase,1%,80%,High,73%,Decrease,2%,51%,72%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,1191,J Clyde Hopkins Elementary School,Penny Salm,Grade(s) K-5,E,Washington,462,10%,11,14%,30%,92%,23,15,1,10%,81%,Yes,24,Decrease,1,25,87%,No Change,,80%,High,63%,Decrease,7%,51%,61%,Increase,2%,43%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,4731,Laurel Ridge Middle School,Marianne Funderhide,Grade(s) 6-8,M,Washington,516,6%,13,12%,11%,97%,22,4,2,8%,100%,No,30,No Change,,25,91%,Increase,1%,80%,High,82%,Decrease,4%,54%,79%,Decrease,1%,39%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,3222,Middleton Elementary School,Jon Wollmuth,Grade(s) K-5,E,Washington,583,<5%,13,16%,7%,94%,27,16,1,10%,83%,Yes,25,No Change,,25,93%,No Change,,80%,High,79%,No Change,,51%,77%,Increase,2%,43%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,4220,Sherwood Charter School,Joy Raboli,Grade(s) K-8,E,Washington,217,*,4,12%,7%,85%,13,0,<1,30%,62%,Yes,24,Increase,2,25,89%,Increase,2%,80%,High,74%,Decrease,6%,52%,64%,Decrease,18%,41%,,,,,,,,,,,,,,,,
2244,Sherwood SD 88J,1193,Sherwood High School,Ken Bell,Grade(s) 9-12,H,Washington,1645,6%,24,9%,13%,97%,70,11,5,8%,90%,Yes,28,Decrease,1,25,81%,Decrease,2%,80%,,,,,,,,,,96%,No Change,,85%,97%,Increase,1%,79%,98%,No Change,,85%,74%,Decrease,1%,62%
2244,Sherwood SD 88J,1192,Sherwood Middle School,Marianne Funderhide,Grade(s) 6-8,M,Washington,696,7%,21,13%,18%,96%,32,9,2,10%,87%,Yes,29,Increase,1,25,86%,Decrease,1%,80%,High,78%,Increase,1%,54%,68%,Increase,2%,39%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,784,Bethany Charter School,Kathy Frank,Grade(s) K-8,E,Marion,137,*,1,9%,19%,82%,6,3,0,19%,83%,Yes,30,No Change,,25,95%,Increase,1%,80%,High,75%,Increase,7%,52%,62%,Increase,17%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,119,Butte Creek Elementary School,Kevin Palmer,Grade(s) K-8,E,Marion,306,25%,4,14%,42%,77%,18,8,1,14%,89%,No,26,Increase,1,25,74%,Increase,5%,80%,High,59%,Decrease,3%,52%,40%,Decrease,6%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,807,Central Howell Elementary School,Dustin Hoehne,Grade(s) K-8,E,Marion,183,7%,4,11%,11%,92%,8,4,<1,16%,90%,Yes,24,Decrease,1,25,93%,No Change,,80%,High,65%,Increase,6%,52%,58%,Increase,7%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,718,Evergreen Elementary School,Jamie Mccarty,Grade(s) K-8,E,Marion,88,*,1,11%,*,81%,4,2,<1,17%,80%,Yes,22.5,Increase,2,25,>95%,Increase,>2%,80%,High,93%,No Change,,52%,83%,Decrease,5%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,714,Mark Twain Elementary,Greg Kaatz,Grade(s) K-2,E,Marion,325,14%,5,8%,43%,90%,18,12,0,17%,63%,Yes,20,Decrease,2,25,84%,Increase,2%,80%,*,55%,Increase,10%,,41%,Decrease,3%,,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,780,Pratum Elementary School,Dustin Hoehne,Grade(s) 1-8,E,Marion,74,*,2,20%,15%,91%,4,3,<1,2%,83%,Yes,23,Increase,2,25,89%,Decrease,>6%,80%,High,78%,Increase,5%,52%,76%,Increase,10%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,716,Robert Frost Elementary School,Leslie Roache,Grade(s) 3-5,E,Marion,424,15%,5,20%,44%,92%,23,18,1,12%,84%,Yes,26,Increase,1,25,85%,Increase,2%,80%,High,59%,Increase,10%,51%,40%,Increase,5%,43%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,785,Scotts Mills Elementary School,Kirstin Jorgenson,Grade(s) K-8,E,Marion,150,*,2,12%,30%,83%,9,3,<1,25%,92%,Yes,19,Increase,1,25,80%,Increase,8%,80%,High,68%,Increase,10%,52%,56%,Increase,6%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,795,Silver Crest Elementary School,Mark Hannan,Grade(s) K-8,E,Marion,136,12%,4,16%,24%,84%,8,3,<1,7%,89%,Yes,15.5,Increase,2,25,74%,Decrease,14%,80%,High,61%,Decrease,10%,52%,46%,Decrease,5%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,812,Silverton High School,Wade Lockett,Grade(s) 9-12,H,Marion,1297,14%,11,14%,27%,89%,61,17,4,14%,80%,No,26,Increase,2,25,76%,Decrease,1%,80%,,,,,,,,,,96%,No Change,,85%,91%,Increase,3%,79%,93%,No Change,,85%,58%,Decrease,5%,62%
2138,Silver Falls SD 4J,715,Silverton Middle School,Brett Davisson,Grade(s) 6-8,M,Marion,461,13%,7,17%,38%,89%,25,14,1,26%,77%,No,23,Increase,1,25,78%,Decrease,5%,80%,Average,54%,Decrease,6%,54%,36%,Decrease,4%,39%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,4746,The Community Roots School,Miranda Pickner,Grade(s) K-8,E,Marion,127,*,2,15%,24%,58%,7,7,0,23%,100%,Yes,32,Increase,7,25,83%,Decrease,3%,80%,Average,62%,Increase,1%,52%,34%,Decrease,1%,41%,,,,,,,,,,,,,,,,
2138,Silver Falls SD 4J,777,Victor Point Elementary School,Jamie McCarty,Grade(s) K-8,E,Marion,221,5%,2,10%,18%,90%,11,4,<1,15%,91%,Yes,26,No Change,,25,>95%,Increase,>3%,80%,High,81%,Decrease,2%,52%,76%,Decrease,2%,41%,,,,,,,,,,,,,,,,
1978,Sisters SD 6,264,Sisters Elementary School,Becky Stoughton,Grade(s) K-4,E,Deschutes,323,5%,5,12%,34%,84%,17,3,1,11%,79%,No,21,Increase,2,25,86%,Increase,2%,80%,Average,58%,Decrease,8%,49%,51%,Increase,3%,46%,,,,,,,,,,,,,,,,
1978,Sisters SD 6,1294,Sisters High School,Joe Hosang,Grade(s) 9-12,H,Deschutes,463,<5%,4,12%,18%,93%,22,6,2,8%,88%,Yes,22,Increase,3,25,76%,Decrease,2%,80%,,,,,,,,,,90%,Increase,1%,85%,89%,Increase,2%,79%,94%,Increase,7%,85%,72%,Increase,7%,62%
1978,Sisters SD 6,1293,Sisters Middle School,Marshall Jackson,Grade(s) 5-8,M,Deschutes,323,5%,3,9%,22%,89%,15,2,1,15%,89%,No,21,Decrease,1,25,86%,Increase,3%,80%,Average,69%,Increase,1%,54%,41%,Decrease,9%,39%,,,,,,,,,,,,,,,,
2096,Siuslaw SD 97J,609,Siuslaw Elementary School,Mike Harklerode,Grade(s) K-5,E,Lane,595,5%,5,19%,66%,95%,35,22,1,14%,74%,Yes,22.5,Decrease,3,25,87%,Increase,4%,80%,Average,45%,Decrease,4%,51%,35%,Decrease,6%,43%,,,,,,,,,,,,,,,,
2096,Siuslaw SD 97J,610,Siuslaw High School,Kerri Tatum,Grade(s) 9-12,H,Lane,376,7%,7,13%,62%,88%,25,3,2,15%,76%,Yes,16,Decrease,2,25,59%,Decrease,11%,80%,,,,,,,,,,86%,Increase,3%,85%,79%,Decrease,6%,79%,92%,Increase,5%,85%,58%,Increase,13%,62%
2096,Siuslaw SD 97J,608,Siuslaw Middle School,Andy Marohl,Grade(s) 6-8,M,Lane,332,6%,4,11%,64%,93%,19,5,1,17%,80%,Yes,20,Decrease,2,25,73%,Decrease,6%,80%,Average,49%,Decrease,2%,54%,32%,Decrease,3%,39%,,,,,,,,,,,,,,,,
2022,South Harney SD 33,357,Fields Elementary School,Stacey Moser,Grade(s) K-8,E,Harney,14,*,2,*,*,93%,2,<1,0,17%,100%,No,8,Increase,1,25,>95%,Increase,>3%,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,4555,Academy for Character Education,Star Sahnow,Grade(s) K-12,H,Lane,105,*,3,*,16%,79%,5,<1,0,14%,67%,No,9,Decrease,1,25,>95%,No Change,,80%,,,,,,,,,,,Unavailable,,85%,100%,No Change,,79%,100%,No Change,,85%,,Unavailable,,62%
2087,South Lane SD 45J3,1791,Al Kennedy High School,Halie Ketcher,Grade(s) 9-12,H,Lane,87,16%,2,31%,>95%,95%,5,0,0,3%,67%,No,12,No Change,,25,40%,Decrease,4%,80%,,,,,,,,,,,Unavailable,,85%,26%,Increase,6%,79%,59%,Increase,8%,85%,46%,Increase,13%,62%
2087,South Lane SD 45J3,573,Bohemia Elementary School,Heather Bridgens,Grade(s) K-5,E,Lane,468,18%,4,16%,69%,91%,27,13,0,15%,81%,Yes,21.5,Decrease,3,25,87%,Decrease,2%,80%,Low,42%,Decrease,2%,51%,28%,Decrease,6%,43%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,4395,Childs Way Charter School,Michael Kerns,Grade(s) 5-12,H,Lane,57,*,2,*,44%,69%,5,<1,0,22%,100%,Yes,6,Unavailable,,25,65%,Decrease,19%,80%,,,,,,,,,,82%,Unavailable,,85%,60%,Increase,24%,79%,42%,Decrease,33%,85%,,Unavailable,,62%
2087,South Lane SD 45J3,580,Cottage Grove High School,Mike Ingman,Grade(s) 9-12,H,Lane,734,7%,4,17%,55%,92%,38,4,2,5%,87%,No,23,Increase,2,25,85%,Increase,1%,80%,,,,,,,,,,82%,Decrease,5%,85%,91%,Decrease,5%,79%,98%,Increase,4%,85%,45%,Decrease,8%,62%
2087,South Lane SD 45J3,574,Dorena School,Linda  Folkman,Grade(s) K-8,E,Lane,77,*,1,27%,>95%,93%,7,3,0,20%,57%,Yes,19.5,No Change,,25,83%,Increase,14%,80%,High,42%,Decrease,4%,52%,30%,Decrease,2%,41%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,576,Harrison Elementary School,Heidi Brown,Grade(s) K-5,E,Lane,443,*,2,21%,58%,90%,22,8,0,13%,77%,Yes,25,Decrease,1,25,88%,Decrease,1%,80%,Average,49%,Decrease,1%,51%,38%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,577,Latham Elementary School,Anne Fisk,Grade(s) K-5,E,Lane,81,*,2,22%,56%,95%,8,1,0,28%,38%,Yes,21.5,Increase,8,25,92%,Increase,8%,80%,Average,49%,Decrease,2%,51%,44%,Increase,10%,43%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,579,Lincoln Middle School,Jeremy Smith,Grade(s) 6-8,M,Lane,570,6%,3,18%,57%,95%,28,8,2,8%,77%,Yes,26,Decrease,1,25,90%,Increase,3%,80%,Low,41%,Decrease,12%,54%,27%,Decrease,11%,39%,,,,,,,,,,,,,,,,
2087,South Lane SD 45J3,578,London School,Bill Bechen,Grade(s) K-8,E,Lane,85,*,1,27%,74%,93%,6,2,0,21%,67%,Yes,16.5,Decrease,4,25,88%,No Change,,80%,High,51%,Decrease,2%,52%,41%,Decrease,1%,41%,,,,,,,,,,,,,,,,
1994,South Umpqua SD 19,289,Canyonville School,Doug Park,Grade(s) K-8,E,Douglas,208,*,2,26%,69%,93%,11,7,0,26%,92%,No,20,Decrease,1,25,86%,Increase,8%,80%,High,49%,No Change,,52%,29%,Decrease,6%,41%,,,,,,,,,,,,,,,,
1994,South Umpqua SD 19,291,Coffenberry Middle School,Laura Smith,Grade(s) 6-8,M,Douglas,294,*,1,26%,53%,92%,16,8,1,24%,80%,No,20.5,No Change,,25,76%,Decrease,1%,80%,Average,39%,Decrease,3%,54%,25%,Increase,5%,39%,,,,,,,,,,,,,,,,
1994,South Umpqua SD 19,290,Myrtle Creek Elementary School,Ariel Mainz,Grade(s) K-5,E,Douglas,325,*,2,17%,66%,89%,14,11,0,33%,64%,Yes,26,Increase,2,25,73%,Decrease,2%,80%,Low,41%,Increase,13%,51%,23%,Increase,9%,43%,,,,,,,,,,,,,,,,
1994,South Umpqua SD 19,293,South Umpqua High School,Carl Simpson,Grade(s) 9-12,H,Douglas,370,*,1,16%,29%,96%,22,7,1,17%,73%,No,19.5,Increase,2,25,67%,Increase,3%,80%,,,,,,,,,,78%,No Change,,85%,76%,Increase,2%,79%,83%,Decrease,2%,85%,48%,Decrease,15%,62%
1994,South Umpqua SD 19,292,Tri City Elementary School,Robert Fowler,Grade(s) K-5,E,Douglas,306,*,2,22%,66%,94%,17,13,0,21%,59%,Yes,25.5,Decrease,1,25,79%,Increase,1%,80%,High,47%,Decrease,4%,51%,35%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2225,South Wasco County SD 1,1108,Maupin Elementary School,Lynn Cowdrey,Grade(s) K-6,E,Wasco,130,9%,2,13%,>95%,95%,7,2,0,4%,86%,Yes,18,Increase,2,25,63%,Decrease,12%,80%,Low,46%,Increase,9%,51%,24%,Increase,6%,42%,,,,,,,,,,,,,,,,
2225,South Wasco County SD 1,1109,South Wasco County High School,Lynn Cowdrey,Grade(s) 7-12,H,Wasco,106,14%,2,18%,>95%,95%,7,0,0,0%,100%,Yes,5,Increase,1,25,68%,Increase,4%,80%,,,,,,,,,,70%,Increase,9%,85%,70%,Increase,6%,79%,83%,Decrease,11%,85%,57%,Decrease,23%,62%
2247,Spray SD 1,3403,Spray School,Phil Starkey,Grade(s) K-12,H,Wheeler,62,*,1,*,>95%,97%,7,1,0,25%,88%,Yes,8,Increase,3,25,93%,Increase,7%,80%,,,,,,,,,,,Unavailable,,85%,67%,Decrease,33%,79%,100%,No Change,,85%,,Unavailable,,62%
2083,Springfield SD 19,4440,Academy of Arts and Academics,Ame Beard,Grade(s) 9-12,H,Lane,244,*,2,10%,43%,85%,16,0,1,14%,56%,No,16,Decrease,4,25,54%,Decrease,10%,80%,,,,,,,,,,83%,Decrease,6%,85%,88%,Increase,3%,79%,95%,Increase,4%,85%,49%,Decrease,15%,62%
2083,Springfield SD 19,1353,Agnes Stewart Middle School,Jeff Fuller,Grade(s) 6-8,M,Lane,580,15%,6,16%,70%,98%,29,12,0,14%,77%,Yes,28,Increase,1,25,72%,Decrease,9%,80%,Average,38%,Decrease,7%,54%,25%,Decrease,4%,39%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,542,Briggs Middle School,Jeff Mather,Grade(s) 6-8,M,Lane,501,13%,6,14%,65%,97%,23,7,1,10%,81%,Yes,32,Increase,4,25,80%,Decrease,2%,80%,Average,58%,Increase,11%,54%,34%,Increase,2%,39%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,544,Centennial Elementary School,Marilyn Williams,Grade(s) K-5,E,Lane,389,13%,14,22%,73%,96%,17,10,0,15%,82%,No,26,Increase,4,25,81%,Decrease,2%,80%,High,43%,Decrease,10%,51%,32%,Decrease,16%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,545,Douglas Gardens Elementary School,Carla Smith,Grade(s) K-5,E,Lane,362,12%,7,21%,>95%,97%,19,12,0,15%,74%,Yes,23,Decrease,2,25,87%,Decrease,1%,80%,Average,53%,Decrease,4%,51%,44%,Decrease,6%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,546,Elizabeth Page Elementary School,Lacey Macdonald,Grade(s) K-5,E,Lane,375,12%,7,16%,>95%,97%,20,11,0,18%,81%,Yes,26.5,Increase,1,25,82%,Decrease,4%,80%,Average,47%,Increase,1%,51%,39%,Increase,3%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,1354,Gateways High School,Lesa Haley,Grade(s) 9-12,H,Lane,89,15%,4,18%,80%,100%,8,9,0,11%,78%,No,12,Increase,2,25,<5%,Decrease,>7%,80%,,,,,,,,,,,Unavailable,,85%,39%,Increase,17%,79%,55%,Increase,15%,85%,30%,Unavailable,,62%
2083,Springfield SD 19,548,Guy Lee Elementary School,Amber Mitchell,Grade(s) K-5,E,Lane,419,21%,9,20%,>95%,96%,23,22,0,16%,50%,Yes,24,No Change,,25,80%,Increase,1%,80%,Average,31%,Increase,1%,51%,21%,No Change,,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,549,Hamlin Middle School,Kevin Wright,Grade(s) 6-8,M,Lane,673,20%,11,18%,>95%,98%,33,13,2,17%,62%,Yes,29,No Change,,25,63%,Decrease,8%,80%,Average,39%,Decrease,2%,54%,20%,Decrease,3%,39%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,550,Maple Elementary School,Linda OShea,Grade(s) K-5,E,Lane,340,18%,8,19%,>95%,94%,19,17,0,13%,82%,Yes,22,Decrease,3,25,86%,Increase,2%,80%,Average,59%,Increase,10%,51%,35%,Increase,1%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,554,Mt Vernon Elementary School,Shelley Nurre,Grade(s) K-5,E,Lane,512,20%,6,18%,66%,97%,26,11,0,16%,78%,Yes,25.5,Increase,1,25,87%,No Change,,80%,Low,35%,Decrease,11%,51%,30%,Decrease,10%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,553,Ridgeview Elementary School,Jeremy Hugo,Grade(s) K-5,E,Lane,436,<5%,6,15%,52%,95%,20,7,0,9%,86%,No,25,Increase,1,25,88%,Increase,2%,80%,Average,50%,Increase,2%,51%,43%,No Change,,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,1352,Riverbend Elementary School,Ryan Beck,Grade(s) K-5,E,Lane,509,11%,4,20%,>95%,98%,29,19,0,30%,75%,No,25.5,Increase,3,25,81%,Increase,1%,80%,Average,36%,Decrease,5%,51%,32%,Increase,6%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,560,Springfield High School,Jose da Silva,Grade(s) 9-12,H,Lane,1292,22%,13,13%,66%,97%,59,17,4,13%,83%,Yes,24,No Change,,25,63%,Decrease,1%,80%,,,,,,,,,,80%,Decrease,12%,85%,73%,Increase,10%,79%,73%,No Change,,85%,47%,Decrease,5%,62%
2083,Springfield SD 19,556,Thurston Elementary School,Nicki Gorham,Grade(s) K-5,E,Lane,469,*,3,15%,42%,96%,21,11,0,10%,91%,Yes,26,No Change,,25,90%,No Change,,80%,High,69%,Increase,4%,51%,67%,Increase,5%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,561,Thurston High School,Chad Towe,Grade(s) 9-12,H,Lane,1223,<5%,8,13%,42%,99%,53,19,4,8%,86%,Yes,24,Decrease,1,25,68%,Decrease,1%,80%,,,,,,,,,,89%,Decrease,2%,85%,81%,No Change,,79%,86%,Increase,4%,85%,53%,Decrease,11%,62%
2083,Springfield SD 19,557,Thurston Middle School,Brandi Starck,Grade(s) 6-8,M,Lane,558,*,3,11%,42%,96%,26,5,0,18%,79%,Yes,29.5,Increase,1,25,82%,Decrease,2%,80%,Average,57%,Decrease,3%,54%,49%,Decrease,2%,39%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,5059,Two Rivers Dos Rios Elementary,Charlie Jett,Grade(s) K-5,E,Lane,469,15%,6,18%,>95%,97%,24,15,0,20%,67%,Yes,26,Increase,2,25,87%,Increase,5%,80%,Average,37%,Decrease,6%,51%,28%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,558,Walterville Elementary School,Dave Hulbert,Grade(s) K-5,E,Lane,165,*,2,8%,42%,96%,8,4,0,22%,75%,Yes,26,Increase,7,25,90%,Decrease,4%,80%,Average,66%,Decrease,4%,51%,54%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2083,Springfield SD 19,4058,Willamette Leadership Academy,Tyson Migliaccio,Grade(s) 6-12,H,Lane,306,5%,2,24%,70%,97%,18,14,0,24%,33%,No,20,Decrease,3,25,69%,Increase,1%,80%,,,,,,,,,,68%,Decrease,8%,85%,38%,Decrease,34%,79%,83%,Decrease,2%,85%,22%,Decrease,4%,62%
2083,Springfield SD 19,559,Yolanda Elementary School,Jeff Butler,Grade(s) K-5,E,Lane,395,11%,9,15%,50%,98%,18,8,0,6%,100%,Yes,24,Decrease,2,25,93%,Increase,1%,80%,Low,66%,Increase,4%,51%,50%,Decrease,9%,43%,,,,,,,,,,,,,,,,
1948,St Helens SD 502,179,Columbia City School,Jennifer Vanderschuere,Grade(s) K-6,E,Columbia,236,*,3,17%,53%,96%,14,4,1,15%,80%,Yes,21,No Change,,25,82%,Decrease,3%,80%,Low,35%,Decrease,7%,51%,30%,Decrease,9%,42%,,,,,,,,,,,,,,,,
1948,St Helens SD 502,2716,Columbia County Education Campus,Colleen Grogan,Grade(s) 9-12,H,Columbia,76,*,2,17%,70%,97%,5,0,0,16%,100%,Yes,15.5,No Change,,25,62%,Increase,21%,80%,,,,,,,,,,,Unavailable,,85%,33%,Increase,13%,79%,47%,Increase,11%,85%,,Unavailable,,62%
1948,St Helens SD 502,3569,Lewis & Clark Elementary School,Dustin Salisbury,Grade(s) K-6,E,Columbia,469,5%,6,16%,57%,95%,26,9,1,3%,93%,Yes,24,No Change,,25,87%,Increase,3%,80%,High,45%,Decrease,3%,51%,42%,Decrease,7%,42%,,,,,,,,,,,,,,,,
1948,St Helens SD 502,182,McBride Elementary School,Lisa Tyler,Grade(s) K-6,E,Columbia,547,<5%,5,16%,39%,95%,29,15,1,17%,69%,No,27,No Change,,25,87%,No Change,,80%,Average,40%,Decrease,12%,51%,29%,Decrease,10%,42%,,,,,,,,,,,,,,,,
1948,St Helens SD 502,4602,St Helens Arthur Academy,Michael Arthur,Grade(s) K-6,E,Columbia,187,*,3,*,26%,97%,10,0,0,25%,75%,Yes,27,Increase,3,25,94%,Increase,9%,80%,High,76%,Decrease,4%,51%,49%,Decrease,16%,42%,,,,,,,,,,,,,,,,
1948,St Helens SD 502,185,St Helens High School,Kathryn Wagner,Grade(s) 9-12,H,Columbia,804,<5%,29,16%,33%,98%,44,13,2,13%,78%,No,20,Decrease,1,25,70%,Increase,2%,80%,,,,,,,,,,74%,Decrease,8%,85%,81%,Decrease,4%,79%,91%,Increase,4%,85%,52%,Increase,1%,62%
1948,St Helens SD 502,184,St Helens Middle School,Cris Gwilliam,Grade(s) 7-8,M,Columbia,424,5%,9,13%,45%,97%,23,3,1,14%,91%,No,25,Decrease,3,25,80%,Decrease,1%,80%,Average,50%,Decrease,4%,55%,42%,Decrease,4%,40%,,,,,,,,,,,,,,,,
2144,St Paul SD 45,778,St Paul Elementary School,Joseph Wehrli,Grade(s) K-6,E,Marion,107,46%,2,12%,52%,96%,8,2,0,0%,100%,Yes,16,Decrease,3,25,90%,Decrease,>5%,80%,High,45%,Increase,2%,51%,34%,Decrease,4%,42%,,,,,,,,,,,,,,,,
2144,St Paul SD 45,779,St Paul High School,Tony Smith,Grade(s) 7-12,H,Marion,125,22%,2,8%,34%,97%,9,1,0,11%,100%,No,17,Increase,1,25,93%,No Change,,80%,,,,,,,,,,95%,No Change,,85%,100%,Increase,8%,79%,96%,No Change,,85%,75%,Increase,10%,62%
2209,Stanfield SD 61,1060,Stanfield Elementary School,Lacey Sharp,Grade(s) K-5,E,Umatilla,221,27%,2,16%,72%,97%,13,6,0,15%,62%,No,21,Increase,1,25,86%,Increase,6%,80%,Average,37%,Decrease,3%,51%,33%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2209,Stanfield SD 61,1061,Stanfield Secondary School,Steve Sheller,Grade(s) 6-12,H,Umatilla,274,30%,5,11%,61%,99%,14,2,1,20%,47%,No,19,Decrease,1,25,82%,Increase,4%,80%,,,,,,,,,,96%,Increase,>7%,85%,79%,Decrease,8%,79%,89%,Increase,3%,85%,51%,Decrease,25%,62%
2018,Suntex SD 10,349,Suntex Elementary School,Shannon Criss,Grade(s) K-8,E,Harney,6,*,1,*,*,*,1,1,0,50%,100%,No,3,Decrease,2,25,*,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
2003,Sutherlin SD 130,318,East Sutherlin Primary School,Beckie Lupton,Grade(s) K-3,E,Douglas,415,<5%,6,18%,63%,92%,22,14,2,8%,96%,No,22,No Change,,25,80%,Decrease,3%,80%,*,35%,Decrease,1%,47%,29%,Decrease,5%,47%,,,,,,,,,,,,,,,,
2003,Sutherlin SD 130,321,Sutherlin High School,Kevin Hunt,Grade(s) 9-12,H,Douglas,351,*,10,13%,48%,97%,22,5,2,15%,88%,No,19,Increase,1,25,73%,Decrease,3%,80%,,,,,,,,,,85%,Decrease,6%,85%,91%,Increase,4%,79%,91%,Increase,11%,85%,56%,Decrease,4%,62%
2003,Sutherlin SD 130,319,Sutherlin Middle School,Jon Martz,Grade(s) 7-8,M,Douglas,197,*,2,10%,63%,95%,12,3,1,19%,75%,Yes,18,Decrease,2,25,84%,No Change,,80%,Average,61%,Increase,2%,55%,45%,Increase,2%,40%,,,,,,,,,,,,,,,,
2003,Sutherlin SD 130,5357,Sutherlin Valley Online Academy,Jon Martz,Grade(s) 3-12,H,Douglas,44,*,2,*,73%,94%,2,0,<1,20%,100%,No,44,Increase,2,25,26%,Decrease,9%,80%,,,,,,,,,,,Unavailable,,85%,18%,Increase,3%,79%,52%,Unavailable,,85%,,Unavailable,,62%
2003,Sutherlin SD 130,320,West Sutherlin Intermediate,Patricia McCracken,Grade(s) 4-6,E,Douglas,320,*,5,14%,63%,95%,15,9,1,9%,88%,Yes,26,No Change,,25,81%,Decrease,5%,80%,High,50%,Increase,3%,53%,35%,No Change,,40%,,,,,,,,,,,,,,,,
2102,Sweet Home SD 55,662,Foster Elementary School,Luke Augsburger,Grade(s) K-6,E,Linn,334,*,4,20%,>95%,93%,16,12,1,15%,63%,Yes,25,No Change,,25,77%,Decrease,7%,80%,High,46%,Decrease,6%,51%,41%,Decrease,5%,42%,,,,,,,,,,,,,,,,
